Category,Sentence,Severity Level
"Feeling down,Depressed, or hopeless",হঠাৎ করে কেন জানি মনটা খারাপ হয়ে যায় বলতে পারিনা 💬 একা থাকতে মন চায়🙎‍♂️,Depressed
"Feeling down,Depressed, or hopeless",আমার মনটা হঠাৎ করে কেন জানি খুব খারাপ হয়ে যায়,Not Depressed
"Feeling down,Depressed, or hopeless",হঠাৎ করে যখন অতীত মনে পরে যায় তখন মনটা বিষিয়ে যায় দ্বম বন্ধ হয়ে আসে এতোটা খারাপ না হলেও পারতো😭😭😭,Depressed
"Feeling down,Depressed, or hopeless","কেনো যানি, হঠাৎ করে কারণে অকারণে মনটা খারাপ হয়ে যায় আবার এমনিতেই ঠিকও হয়ে যায়। ",Not Depressed
"Feeling down,Depressed, or hopeless","সারাটা দিন থেকে লো পেসার এ ভুগছি কিন্তু মন খারাপ করি নি , হঠাৎ করে কারো জন্য মনটা খারাপ হয়ে যায় , কেনো আমি ভালো থাকতে পারি না.....!! কি পরিক্ষা নিচ্ছেন ভগবান 😭😭😭।",Not Depressed
"Feeling down,Depressed, or hopeless",জানিনা কেনো হঠাৎ করে মনটা খারাপ হয়ে যায়  মন খারাপ এর কোন কারণ খুঁজে পাইনা শুধু এইটা বুঝতে পারি আমি ভালো নেই,Not Depressed
"Feeling down,Depressed, or hopeless",মস্তিষ্ককে হালকা করার জন্য ডায়েরি লেখা ভালো উপায়।,Not Depressed
"Feeling down,Depressed, or hopeless",আমরা মানুষেরা খুব সহজেই হতাশ হয়ে পড়ি। ,Depressed
"Feeling down,Depressed, or hopeless","হবে না, পারবো না, আমার কপালে নেই কথাণ্ডলি অনেকটা universal truth এর মতো আমরা বলে থাকি। ",Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",আমার বহুৎ কষ্ট বাবা কষ্ট থেকে মরে গেলে ভালো হতো,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",হয়তো মরে গেলে হতো বেশি ভালো,Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",বাঁচতে ইচ্ছে করতেছে না,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",আত্মহত্যা কখনোই কোনো কিছুর সমাধান না,Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",আত্মহত্যা !! কখনো কোন পরিস্থিতিতে নয়!,Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",স্বাধীন জীবন স্বাধীন চাই একটুও আমি বাঁচতে চাই,Not Depressed
"Feeling down,Depressed, or hopeless",আজকে আমার জন্মদিন। আমার জন্য স্পেশাল একটা দিন।,Not Depressed
"Feeling down,Depressed, or hopeless",এগুলো চোখের সামনে ভেসে উঠলেই যেন কান্না পায়।,Not Depressed
"Feeling down,Depressed, or hopeless","কারো কষ্টে আমারো কষ্ট হয় , কান্না পায়। ",Not Depressed
"Feeling down,Depressed, or hopeless","আব্বা আজ আপনি চলে যাওয়ার ১ বছর পূর্ণ হয়ে গেল, আব্বা আপনার কথা মনে হলে দুনিয়ার কোন সুখই আমাকে খুশি করতে পারে না।",Depressed
"Feeling down,Depressed, or hopeless",আজকাল আপনার কথা মনে হলে আর কান্না পায় না মনে হয় বুকের ভেতরটা কেমন দুমরে মুচরে যাচ্ছে সেটা আমি কাকে বুঝাবো    কতো স্বপ্ন ছিল কতো না বলা কথা বলার বাকি ছিল আপনার সাথে আব্বা কই কিছুই তো হলো না,Depressed
"Feeling down,Depressed, or hopeless","মন টা এতো খারাপ ছিলো,মাইলস্টোন এর বাচ্চাদের জন্য,এখনো আছে,কিছুই পোস্ট করতে ইচ্ছে করে না। ভালো লাগে না।শুধু কান্না পায়😥",Depressed
"Feeling down,Depressed, or hopeless","আহ পুতুলের মত নিষ্পাপ ছোট বোনটা আমার। তার কথা ভাবলেই তার ছবি কান্না পায়, দুচোখ পানিতে ভরে যায়।😭 কতটা কষ্টে তার মৃত্যু হয়েছে 😭",Depressed
"Feeling down,Depressed, or hopeless",কালা হোক বা অসুন্দর হোক আমার কাছে সে রাজকন্যা ,Not Depressed
"Feeling down,Depressed, or hopeless",কতো মানুষ তো কান্না করেও একটা বাচ্চা পায় না আল্লাহ সবাই কে দেয় না আল্লাহ আমাকে যা দিছে আমি তাতেই আলহামদুলিল্লাহ,Not Depressed
"Feeling down,Depressed, or hopeless","আমিও অন্ধকার খুব ভয় পাই🖤🥀 সবাই কে ছেড়ে যেতেও ভয় পাই ,আরো বেশি কান্না পায়??💔🖤🤍",Depressed
"Feeling down,Depressed, or hopeless",মানুষ্য জাতি জাতির কিছুতেই সুখ নাই।,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way","মাঝে মাঝে মনে হয় আমি মরে গেলে, সবার জীবন ঠিক এভাবেই চলবে,সব থাকবে শুধু আমি  থাকবো না, কয়দিন শোক পালন  করা হবে আমার জন্য, তারপর সেটাও বন্ধ হয়ে যাবে",Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",মাঝে মাঝে মনে হয়।    বেঁচে থাকার চেয়ে মরে যাওয়া ভালো।,Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",একটা কথা ভাবলেই অবাক হয়ে যাই আর অনেক কস্ট লাগে যেটা হলো মরে যাবো একদিন,Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",মানসিক অশান্তি থেকে মুক্তি চাই,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",আমার অনেক ইচ্ছে পৃথিবীতে শান্তিতে বাকিটা সময় শান্তির নিশ্বাস নিতে চাই ,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",বেঁচে থাকতে কি আদৌও এই ক্লান্তি শেষ হবে নাকি মৃত্যুই একমাত্র পথ দুশ্চিন্তা মুক্তির?,Not Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",মৃত্যুই হয়তো একমাত্র আমার মুক্তির পথ,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",এমন একটা পরিস্থিতিতে আছি যে মনে হয় মৃত্যুই একমাত্র মুক্তির পথ। ,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way","আমার জীবনটা এমন কেনো ?😔 যেখানে বার বার এমন পরিস্থিতির সম্মুখীন হয়ে হয়, যার থেকে একমাত্র মৃত্যুই মুক্তির পথ!💔",Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",কেবলমাত্র মৃত্যই পারে আমার মনের অবশিষ্ট কাল্পনিক অণু সাম্য ইচ্ছা-আকাঙ্খা গুলোর চুড়ান্ত অবসান ঘটাতে।,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",আমার জীবনের সব গল্প ও ইতিহাসের শেষ সমাপ্তিই হলো আমার মৃত্যু। ,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way", আমি মরে গেলে বা হারিয়ে গেলেই হয়তো আমার জীবনের সব গল্প ও যন্ত্রণার সমাপ্তি ঘটবে।,Depressed
"Thoughts that one would be better off dead, or of hurting oneself in some way",কোনো একদিন ভোরবেলা শোনা যাবে আমি আর নেই।,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন কাজ করে ক্লান্ত থাকি কিন্ত শুতে যাবার পর আর ঘুম আসে না নানান চিন্তায় ,Depressed
"Trouble falling or staying asleep, or sleeping too much",শুতে যাওয়ার আগে সব চিন্তা ফেলায় দিই বলে ঘুম নিয়ে কোনোদিন সমস্যা হয় নি। ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",ছোটবেলা থেকে বাবার শাসনে প্রতিদিন ১০ টার মধ্যে ঘুমাতে যেতাম। আলহামদুলিল্লাহ এখনো আগে আগে ঘুমানোর অভ্যাস আছে। ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",ভোরে ঘুম থেকে উঠার অভ্যাস থাকা উচিত। কাজের জন্য পর্যাপ্ত সময় পাওয়া যায়। ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",ভোর বেলা ঘুম থেকে উঠলে চারিদিকের পরিবেশ দেখলে এমনিই মন ভালো হয়ে যায়। ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",শোয়ার পর আমার ঘুম আসতে মিনিমাম আধা ঘন্টা লাগেই। ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",ইদানীং মাঝরাতে হঠাৎ ঘুম ভেঙে যায় ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much",বন্ধের দিন অতিরিক্ত ঘুম হচ্ছে। ,Not Depressed
"Trouble falling or staying asleep, or sleeping too much","আমার ঘুম খুবই পাতলা, একটু পর পর ঘুম ভেঙে যায়।",Depressed
"Trouble falling or staying asleep, or sleeping too much",এমনিতেও ঘুম আসতে রাত বারোটার উপরে বেজে যায়। তারপর একটু ঘুমাইলে ২০-৩০ মিনিট পর আবার ঘুম ভেঙ্গে যায়।,Depressed
"Trouble falling or staying asleep, or sleeping too much",পর্যাপ্ত ঘুমের অভাবে দিনদিন স্বাস্থ্যের অবনতি হচ্ছে। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",মূলত অতিরিক্ত দুশ্চিন্তার কারণে হুট করে ঘুম ভেঙে যায়।,Depressed
"Feeling down,Depressed, or hopeless",চিন্তা করা কোনোভাবেই কমাতে পারতেছি না। প্রায় সময়ই  মন মেজাজ নষ্ট থাকে। ,Depressed
"Trouble falling or staying asleep, or sleeping too much","বয়স টা সেই পর্যায়ে চলে এসেছে, যেখানে ঘুম কম আর ভবিষ্যৎ চিন্তা বেশি.",Depressed
"Trouble falling or staying asleep, or sleeping too much","যখনই চোখ টা বন্ধ হয় হুট করে বজ্রপাতের আওয়াজে লাফিয়ে ঘুম থেকে উঠি। মনে হচ্ছিলো এখনই মনে হয় কেয়ামত হবে ,এমন মনে হচ্ছিলো।",Depressed
"Trouble falling or staying asleep, or sleeping too much",আমার একটু চিন্তা করলেই অতিরিক্ত ঘুম আসে। বিছানা থেকে উঠতেই পারি না একদম। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রয়োজনের চেয়ে অতিরিক্ত ঘুমাচ্ছি। এজন্য শরীরটাও খারাপ লাগে। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",রাতে ঠিক মত ঘুম হয়না Over thinking এর জন্য। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",প্রতিদিন ৩-৪ ঘন্টার বেশি ঘুমাতে পারি না। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",ঘুমের জন্য সারারাত ছটফট করি কিন্ত ঘুম আসে না।,Depressed
"Trouble falling or staying asleep, or sleeping too much",মানুষ টাকার জন্যও এতটা ছটফট করে না যতটা আমি ঘুমের জন্য করি। ,Depressed
"Trouble falling or staying asleep, or sleeping too much",চোখটা বন্ধ করলেই ভয় লাগে মনে হয় একবার ঘুমালে আর উঠতে পারব না। ,Depressed
"Trouble falling or staying asleep, or sleeping too much","ক্লান্তিতে শরীর ভেঙে আসে, কিন্তু ঘুম আসে না।",Depressed
"Trouble falling or staying asleep, or sleeping too much","ক্লান্ত, বালিশে মাথা, তবুও ঘুম না আসা। চোখ বন্ধ করলেই মনে হয় কি যেনো এক অদৃশ্য চিন্তা চেপে ধরে""!🙂❤️‍🔥",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"মাঝে মাঝে নিজের উপর প্রচণ্ড রাগ হয়, কেনো মানুষ চিনতে বার বার ভুল করি? ",Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,মাঝে মাঝে নিজের উপর এ নিজের ঘৃনা হয়!!,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"জেই নিজেকে যতটা ঘৃণা করি😥, মনে হয় না পৃথিবীর অন্য কেউ ততটা ঘৃণা করে আমাকে।।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"মাথা ভর্তি শুধুই পরিবারকে ভালো রাখার চিন্তা। শৈশব, রঙিন দিন, চিন্তা মুক্ত ঘুম, সবকিছু হারিয়ে গেছে জীবন থেকে।😥",Depressed
"Trouble falling or staying asleep, or sleeping too much",বাড়ির চিন্তা ঘুম আসতাছে না,Not Depressed
Feeling tired or having little energy,"আপনি যতই শক্তিশালী হন না কেন, আপনার জীবনে এমন কাউকে পাবেনই পাবেন যে আপনাকে সহজে দুর্বল বানিয়ে দিতে পারে।",Depressed
Feeling tired or having little energy,যখন মানুষ খুব ক্লান্ত হয়ে পড়ে সেই সময়েই মানুষ বেশি ক্রিয়েটিভ হয়।,Not Depressed
Feeling tired or having little energy,"কাজের জন্য মানুষ কখনো ক্লান্ত হয় না, মানুষ ক্লান্ত হয়- দুশ্চিন্তা, হতাশা আর অবহেলা থেকে।",Depressed
"Feeling down,Depressed, or hopeless","একা একা মানসিক চাপ নিতে নিতে মানুষ ক্লান্ত হয়ে যায়। খারাপ লাগা, কষ্টগুলোর কথা বলার মানুষ নাই কোথাও। ",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,কখনো নিজেকে ব্যর্থ মনে করব না,Not Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"নিজেকে সব থেকে বেশি অসহায় মনে হয় তখন,, যখন একি কমিটমেন্ট বারবার চেষ্টা করা সত্বেও ব্যর্থ হই।",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,পরিবার ছোট ভাইয়ের ওপর নির্ভর করে চলছে আমি কোনো কন্ট্রিবিউশন ই করতে পারতেছি না। যেই মা কষ্ট করে বড় করলো তার জন্য কিছুই করতে পারছি না। এইভাবে চলতে চলতে পরিবারের কাছে একটা বোঝা হয়ে যাচ্ছি।,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,নিজেকে একটা বোঝা মনে হচ্ছে,Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,"না পারলাম পরিবারের জন্য কিছু করতে, না পারলাম পরিবারের মুখে হাসি ফোটাতে,",Depressed
Feeling bad about oneself—or that one is a failure or has let oneself or one’s family down,আমি এত বড় হয়েও তাঁদের জন্য কিছু করতে পারছি না। ,Not Depressed
Little interest or pleasure in doing things,ছুটির দিনে পড়ালেখার কোনো চাপ থাকে না। তাই খালি ছুটির জন্য মন চায়।,Not Depressed
Little interest or pleasure in doing things,প্রতিদিনের পড়া প্রতিদিন পড়া উচিত। তাহলে আমার তেমন একটা চাপ লাগে না।,Not Depressed
Little interest or pleasure in doing things,নতুন অফিসে চাকরি করতে ভালই লাগে। চাপ কম।,Not Depressed
Little interest or pleasure in doing things,বাসার কাজে অফিস হওয়ায় তেমন একটা ঝামেলার মধ্যে যাওয়া লাগে না। ,Not Depressed
Little interest or pleasure in doing things, আলহামদুলিল্লাহ নিজের হালাল টাকায় ব্যবসা করার শান্তিই আলাদা।,Not Depressed
Little interest or pleasure in doing things, চাকরির থেকে ব্যবসায় বেশি ভালো লাগে। ,Not Depressed
Little interest or pleasure in doing things,মাঝে মাঝে নতুন নতুন রেসিপি রান্না করে মন ভালোই থাকে। ,Not Depressed
Little interest or pleasure in doing things,নিজে রান্না করাটাও একটা স্কিল। কনফিডেন্স আসে এতে। ,Not Depressed
Little interest or pleasure in doing things,"সুযোগ পেলেই ক্রিকেট ফুটবল খেলি। মন ভালো থাকে এতে, মাইন্ড ফ্রেশ হয়।",Not Depressed
Little interest or pleasure in doing things,শরীর ফিট রাখার জন্য রেগুলার খেলাধুলা করি। ,Not Depressed
Little interest or pleasure in doing things,বন্ধুদের সাথে ঘুরতে বের হলে আমার ভালোই লাগে।,Not Depressed
Little interest or pleasure in doing things,ঘুরতে আমার খুব ভালো লাগে। নতুন নতুন জায়গা দেখি। ,Not Depressed
Little interest or pleasure in doing things,আমি বন্ধুদের সাথে সব সময়ই যোগাযোগ রাখি। ,Not Depressed
Little interest or pleasure in doing things,বন্ধুদের সাথে আমার সব শেয়ার করি।,Not Depressed
Little interest or pleasure in doing things,আজকে আমি খাম বানানো শিখলাম। নিজের কাছেই ভালো লাগল। ,Not Depressed
Little interest or pleasure in doing things,আমি প্রতি সপ্তাহে টার্গেট নিই নতুন কিছু শিখার। নিজেকে যতটুকু স্বয়ংসম্পূর্ণ করা যায়। ,Not Depressed
Little interest or pleasure in doing things,আমি আজকে দুইটা মুভি দেখলাম।,Not Depressed
Little interest or pleasure in doing things,মুভি দেখা আমার কাছে নেশার মতন। ,Not Depressed
Little interest or pleasure in doing things,আমি ছোটবেলা থেকেই বই পড়া পছন্দ করি। মাঝে মাঝে চেষ্টা করি প্রতি সপ্তাহে একটা করে বই পড়ার। ,Not Depressed
Little interest or pleasure in doing things,টিউশনি করাতে আমার কাছে ভালো লাগে। কাউকে নতুন কিছু শিখানোর মজাই আলাদা। ,Not Depressed
Little interest or pleasure in doing things, পড়ালেখা করতে আমার ভালোই লাগে। নতুন নতুন অনেক কিছু শেখা যায়।,Not Depressed
Little interest or pleasure in doing things,ফিজিক্স আমার সবচেয়ে প্রিয় সাবজেক্ট। সারাদিন এই নিয়ে বসে থাকি।,Not Depressed
Little interest or pleasure in doing things,অফিসে সবার সাথে একটা ভালো সম্পর্ক থাকায় কাজ করতে ভালোই লাগে।,Not Depressed
Little interest or pleasure in doing things,অফিসে ম্যাক্সিমামই আমার ভার্সিটির সিনিয়র। অফিস টা নিজের মতনই লাগে।,Not Depressed
Little interest or pleasure in doing things,গত কয়েকদিন ধরে ব্যবসায় ভালোই লাভ আসতিছে। মন টাও ফুরফুরা। ,Not Depressed
Little interest or pleasure in doing things,আজকে নিজ হাতে রান্না করে সবাইকে খাওয়ালাম। সবাই খুশি। আমিও খুশি।,Not Depressed
Little interest or pleasure in doing things,গত দুই সপ্তাহ ধরে ফুটবল খেলতেছি। শরীরটায় আগের চেয়ে এনার্জি পাচ্ছি।,Not Depressed
Little interest or pleasure in doing things,ক্রিকেটে বরাবরই আমি ভালো। প্রায় প্রতি সপ্তাহে ছোট খাটো একটা টুর্নামেন্ট খেলা হয়। ,Not Depressed
Little interest or pleasure in doing things,গত সপ্তাহে কক্সবাজার ঘুরে আসলাম। এখনো মনে হয় সমুদ্রের কাছে আমি বসে আছি। ,Not Depressed
Little interest or pleasure in doing things,এইবার আমি বাংলাদেশের ৬৪ জেলা ঘুরে দেখবো। ,Not Depressed
Little interest or pleasure in doing things,আমি প্রতিদিন সন্ধ্যায় বন্ধুদের সাথে আড্ডা দিতে বের হই। ,Not Depressed
Little interest or pleasure in doing things,কেউ আড্ডার জন্য ডাক দিলে আমি সাথে সাথে হাজির হই। আড্ডাতে আমার না নেই।,Not Depressed
Little interest or pleasure in doing things,আজকে আমি বিরিয়ানি রান্না করতে শিখলাম। ভাবতেছি একটা দোকান দিয়ে দিই। ,Not Depressed
Little interest or pleasure in doing things,এই মাসে আমি গানের স্কুলে ভর্তি হলাম। এর পাশাপাশি হারমোনিয়াম বাজানো শিখবো। ,Not Depressed
Little interest or pleasure in doing things,গত দুই মাস ধরে গিটার বাজানো শিখতেছি। এখন দুই একটা সুর তুলতে পারি।,Not Depressed
Little interest or pleasure in doing things,গান শুনতে আমার খুবই ভালো লাগে। মনটা চাঙা করে তুলে। ,Not Depressed
Little interest or pleasure in doing things, মাঝে মাঝে মা এর কাছে বসে গান শুনি। অবাক হয়ে শুনি। ,Not Depressed
Little interest or pleasure in doing things, বাবা আমার জন্মদিনের জন্য নতুন বই নিয়ে আসত। কি যে ভালো লাগত আমার। ,Not Depressed
Little interest or pleasure in doing things,"আমি হলাম বইপোকা। যার কাছেই বই পাই, বই নিয়ে এসে পড়া শুরু করে দিই। ",Not Depressed
Little interest or pleasure in doing things,নতুন কোনো মুভি রিলিজ হলে আমার প্রথম কাজ হলো হলে গিয়ে মুভি দেখা।,Not Depressed
Little interest or pleasure in doing things,আমি খুব সকালে উঠি। মনটাও ভালো থাকে। যেকোনো কাজেও মন বসে। ,Not Depressed
Little interest or pleasure in doing things,"আগে নিয়মিত বই পড়তাম, এখন পড়তে ইচ্ছে হয় কিন্তু তেমন মন বসে না।",Not Depressed
Little interest or pleasure in doing things,"বন্ধুদের সাথে আড্ডা দিতে ভালো লাগে, তবে আগের মতো মজা পাই না।",Not Depressed
Little interest or pleasure in doing things,"গান শুনতে ভালো লাগে, কিন্তু বেশি সময় ধরে শুনতে পারি না।",Not Depressed
Little interest or pleasure in doing things,"রান্না করি মাঝে মাঝে, তবে আগের মতো এক্সাইটমেন্ট থাকে না।",Not Depressed
Little interest or pleasure in doing things,"সিনেমা দেখতে বসি, কিন্তু পুরোটা শেষ করার ধৈর্য পাই না।",Not Depressed
Little interest or pleasure in doing things,"ছুটির দিনে ঘুরতে যাওয়ার প্ল্যান করি, তবে শেষ মুহূর্তে আর যাওয়া হয় না।",Not Depressed
Little interest or pleasure in doing things,"খেলাধুলা পছন্দ করি, তবে আগের মতো এনার্জি পাই না মাঠে নামার।",Not Depressed
Little interest or pleasure in doing things,"আগে প্রতিদিন হাঁটতাম, এখন মাঝে মাঝে ইচ্ছা হয় না।",Not Depressed
Little interest or pleasure in doing things,"নতুন কিছু শেখার চেষ্টা করি, তবে ধারাবাহিকভাবে চালিয়ে যেতে পারি না।",Not Depressed
Little interest or pleasure in doing things,"অফিসে কাজ করতে ভালো লাগে, তবে আগের মতো মোটিভেশন পাই না।",Not Depressed
Little interest or pleasure in doing things,"একসময় নতুন বই হাতে পেলেই পড়তে বসে যেতাম, এখন তেমন টান লাগে না।",Not Depressed
Little interest or pleasure in doing things,"গান শেখার ক্লাসে ভর্তি হয়েছিলাম, কিন্তু এখন রেগুলার যাওয়া হয় না। ",Not Depressed
Little interest or pleasure in doing things,"বাইরে খেতে যাওয়া পছন্দ করি, কিন্তু এখন গেলে আগের মতো মজা পাই না।",Not Depressed
Little interest or pleasure in doing things,"অনলাইনে নতুন মুভি রিলিজ হলে দেখতে বসি, তবে মাঝপথেই উঠে যাই।",Not Depressed
Little interest or pleasure in doing things,"আগে খুব সাজগোজ করতে ভালো লাগত, এখন তেমন করি না।",Not Depressed
Little interest or pleasure in doing things,"কবিতা লিখতাম অনেক, কিন্তু এখন আর আগের মতন লিখতে মন চায় না। ",Not Depressed
Little interest or pleasure in doing things,"নাটক বা সিরিজে আগ্রহ কমে গেছে, দেখি কিন্তু মজা পাই না।",Not Depressed
Little interest or pleasure in doing things,"ক্রিকেট খেলতে নামি, কিন্তু দ্রুত ক্লান্ত হয়ে পড়ি, আনন্দও কম লাগে।",Not Depressed
Little interest or pleasure in doing things,"ফেসবুক স্ক্রল করি, কিন্তু আগের মতো ইন্টারেস্ট নাই।",Not Depressed
Little interest or pleasure in doing things,"বন্ধুদের সাথে ট্যুরে গেলে যাই, কিন্তু আগের মতো এক্সাইটেড থাকি না।",Not Depressed
Little interest or pleasure in doing things,"টিউশনি করাতে ভালো লাগে, তবে ছাত্রদের বুঝাতে আগের মতো ধৈর্য পাই না।",Not Depressed
